th1 (rad),w1 (rad/s),th2 (rad),w2 (rad/s),a1 (rad/s^2),a2 (rad/s^2)
-0.6952939444890315,6.82973586596041,-3.4930744732135808,3.0290430897613247,18.937870801982488,30.178652343181625
-0.6269965858294274,7.019114573980235,-3.4627840423159677,3.330829613193141,17.74533271424265,28.66087198645051
-0.5568054400896251,7.196567901122662,-3.4294757461840364,3.6174383330576463,16.313107874166327,26.704712578538214
-0.48483976107839843,7.359698979864325,-3.39330136285346,3.884485458843028,14.666373613645995,24.342344355674634
-0.41124277127975517,7.506362716000784,-3.3544565082650295,4.127908902399774,12.8354159569748,21.61791601785954
-0.3361791441197473,7.634716875570533,-3.3131774192410317,4.344088062578369,10.853251511172406,18.584042038093273
-0.259831975364042,7.743249390682257,-3.269736538615248,4.529928482959302,8.753444737143344,15.298219932876785
-0.18239948145721946,7.83078383805369,-3.2244372537856547,4.682910682288069,6.568386105779776,11.81965707066729
-0.10409164307668256,7.896467699111487,-3.177608146962774,4.8011072529947425,4.3281733672454825,8.206828616696813
-0.025126966085567692,7.939749432783942,-3.1295970744328265,4.88317553916171,2.0601149003601016,4.515903140120055
0.05427052824227173,7.960350581787543,-3.0807653190412094,4.928334570562911,-0.21122295554848552,0.800005292530384
0.13387403406014714,7.9582383522320574,-3.0314819733355804,4.936334623488215,-2.46356256222278,-2.8908376555205826
0.21345641758246772,7.93360272660983,-2.9821186271006983,4.907426246933009,-4.676218513385401,-6.509289664870939
0.29279244484856604,7.8868405414759755,-2.9330443646313684,4.8423333502843,-6.82932039941514,-10.010090203531357
0.3716608502633258,7.818547337481824,-2.8846210311285256,4.742232448248987,-8.903102037456705,-13.349471268693307
0.44984632363814403,7.729516317107257,-2.837198706646036,4.608737735562054,-10.877382439885961,-16.484818873137804
0.5271414868092166,7.6207424927083975,-2.7911113292904153,4.443889546830675,-12.731338148243728,-19.37474351850159
0.6033489117363006,7.49342911122596,-2.7466724338221087,4.250142111645659,-14.44363625016023,-21.979662355983976
0.6782832028485601,7.348992748724358,-2.704171012705652,4.030345488085819,-15.992959374844919,-24.26291934725246
0.7517731303358037,7.1890631549759085,-2.663867557824794,3.7877162946132947,-17.358905924051733,-26.19238058647772
0.8236637618855628,7.015474095735391,-2.625990394878661,3.5257924887485177,-18.52319198806399,-27.742347066779576
0.8938185028429166,6.830242175854751,-2.590732469991176,3.248369018080722,-19.471022482406692,-28.895540631188364
0.9621209246014641,6.635531951030685,-2.5582487798103686,2.9594136117688383,-20.192450000585335,-29.644860370249898
1.028476244111771,6.433607451024831,-2.52865464369268,2.6629650080663394,-20.683515293152148,-29.994596623904656
1.0928123186220193,6.22677229809331,-2.5020249936120167,2.3630190418272927,-20.94697532051651,-29.96084111190035
1.1550800416029525,6.017302544888144,-2.4783948031937437,2.0634106307082893,-20.992477590377867,-29.57094292076305
1.215253067051834,5.807377768984366,-2.4577606968866608,1.7677012015006588,-20.836125379368955,-28.862011432281808
1.2733268447416777,5.599016515190677,-2.440083684871654,1.4790810871778408,-20.49947882584661,-27.878624757019278
1.3293170098935845,5.394021726932211,-2.425292873999876,1.200294839607648,-20.008127585537416,-26.670027787938096
1.3832572271629067,5.193940451076837,-2.413289925603799,0.933594561728267,-19.390030230839827,-25.287168438507084
1.435196631673675,5.000040148768439,-2.4039539799865164,0.6807228773431961,-18.6738322162361,-23.779913312602005
1.4851970331613595,4.813301826606078,-2.3971467512130844,0.44292374421717606,-17.887349357635493,-22.194714932027104
1.5333300514274204,4.634428333029723,-2.3927175137709127,0.22097659489690502,-17.0563495661521,-20.57289656303054
1.5796743347577176,4.4638648373682015,-2.3905077478219434,0.015247629266599616,-16.20369940443398,-18.949607206645112
1.6243129831313996,4.301827843323862,-2.3903552715292773,-0.17424844279985152,-15.348880189828538,-17.353403084206622
1.6673312615646383,4.148339041425577,-2.392097755957276,-0.3477824736419177,-14.507831772587032,-15.806347055383055
1.708814651978894,4.003260723699706,-2.3955755806936954,-0.5058459441957482,-13.693054984629633,-14.324486758736931
1.748847259215891,3.86633017385341,-2.4006340401356527,-0.6490908117831176,-12.913894731021053,-12.918570504630697
1.787510560954425,3.7371912265431995,-2.4071249482534838,-0.7782765168294246,-12.176930183876703,-11.59487768999518
1.824882473219857,3.6154219247044326,-2.414907713421778,-0.8942252937293763,-11.486411003954153,-10.356068029577624
1.8610366924669013,3.5005578146648912,-2.4238499663590716,-0.9977859740251526,-10.844694092760701,-9.201983437272307
1.8960422706135502,3.392110873737284,-2.433827826099323,-1.0898058083978757,-10.252650613950365,-8.130362932812131
1.929963379350923,3.2895843675977803,-2.4447258841833017,-1.171109437725997,-9.71002595469385,-7.137452049291772
1.9628592230269009,3.192484108050842,-2.4564369785605615,-1.2424839582189147,-9.215745163779292,-6.218503323372418
1.9947840641074093,3.100326656413049,-2.468861818142751,-1.3046689914526388,-8.768163234299742,-5.368174145422837
2.0257873306715397,3.0126450240700517,-2.4819085080572774,-1.3583507329068671,-8.365263847357028,-4.580833628120755
2.05591378091224,2.9289923855964815,-2.495492015386346,-1.4041590691880748,-8.004812462948692,-3.850792413395764
2.085203704768205,2.8489442609669946,-2.509533606078227,-1.4426669933220324,-7.684470525729967,-3.1724695414073425
2.113693147377875,2.772099555709695,-2.5239602760114472,-1.474391688736106,-7.4018775439440585,-2.5405094890981115
2.1414141429349716,2.698080780270254,-2.538704192898808,-1.4997967836270871,-7.154707278620282,-1.9498608526274406
2.168394950737674,2.6265337074840516,-2.553702160735079,-1.5192953921533616,-6.940703514176828,-1.3958262974119318
2.1946602878125145,2.5571266723422834,-2.5688951146566126,-1.533253655127481,-6.75770004539664,-0.874091574089837
2.2202315545359372,2.489549671888317,-2.5842276512078874,-1.5419945708683793,-6.603628714290682,-0.3807397290697065
2.2451270512548205,2.4235133847454104,-2.5996475969165713,-1.5458019681590764,-6.476518619594316,0.08774481892802233
2.2693621851022745,2.3587481985494674,-2.615105616598162,-1.5449245199697963,-6.374489025110992,0.5344788981352655
2.292949667087769,2.2950033082983574,-2.6305548617978602,-1.5395797309884436,-6.29573801405876,0.9621874826281314
2.315899700170753,2.2320459281577696,-2.645950659107745,-1.5299578561621623,-6.23852856618093,1.3732132891439965
2.3382201594523306,2.1696606424959604,-2.6612502376693663,-1.5162257232707224,-6.2011734571043595,1.7695281627993178
