th1 (rad),w1 (rad/s),th2 (rad),w2 (rad/s)
5.5047016655003045,2.4014564705975703,3.7320182427460424,1.1592897814243703
5.52871623020628,2.4763285172976586,3.743611140560286,1.2853596917167434
5.553479515379257,2.5493003891101735,3.7564647374774536,1.4162960843684096
5.5789725192703585,2.620081115996613,3.7706276983211375,1.5520369647523893
5.605173330430325,2.6883485870819737,3.786148067968661,1.6924819154395225
5.632056816301144,2.753748486790119,3.8030728871230566,1.8374894541768707
5.6595943011690455,2.8158936468971465,3.8214477816648253,1.986874705305635
5.687753237638017,2.8743639013265536,3.841316528717882,2.140407506253745
5.7164968766512825,2.9287065327017396,3.8627206037804194,2.2978110818303312
5.7457839419783,2.9784373990195645,3.8856987145987225,2.4587614278057424
5.775568315968496,3.0230428246322316,3.9102863288767797,2.6228875509251695
5.805798744214818,3.0619823313113206,3.9365152043860316,2.7897727142952724
5.836418567527931,3.094692271788423,3.9644129315289844,2.9589568342092294
5.867365490245816,3.1205904090970686,3.9940024998710766,3.12994016614688
5.898571394336787,3.1390814595949985,4.025301901532545,3.3021884031359185
5.929962208932737,3.1495635851333614,4.058323785563904,3.475139288177523
5.9614578447840705,3.1514357800495003,4.093075178445679,3.6482108134360214
5.992972202584565,3.1441060513857004,4.12955728658004,3.820811042004784
6.024413263098422,3.127000236336462,4.167765397000088,3.9923495433156004
6.055683265461787,3.0995712404180846,4.207688892433244,4.1622503812911695
6.086678977865968,3.061308415108378,4.2493113962461555,4.329966536661229
6.117292062017052,3.0117467276093857,4.292611061612768,4.494995584141723
6.147409529293146,2.950475311913566,4.337561017454186,4.6568963854810885
6.176914282412281,2.877144934464666,4.3841299813089964,4.815306506295922
6.205685731756928,2.7914738650330038,4.432283046371956,4.969960025175218
6.233600470407258,2.6932516197096175,4.481982646623708,5.120705385830482
6.260532986604354,2.5823400432023496,4.533189700482013,5.267522955609282
6.286356387036378,2.4586712252768326,4.585864930038106,5.410542004392251
6.310943099289146,2.32224180204633,4.639970350082028,5.55005691289642
6.334165517309609,2.1731032744995273,4.695470919210992,5.686542561770714
6.355896550054604,2.0113480785738056,4.7523363448286995,5.820669041293984
6.376010030840342,1.8370912554001482,4.810543035241639,5.953316049041247
6.394380943394343,1.6504476894042999,4.870076195732051,6.08558759543319
6.410885420288386,1.4515050027606233,4.930932071686383,6.218827890532709
6.425400470315992,1.2402923266625798,4.9931203505917106,6.354639499916399
6.437803393582618,1.016745347955505,5.056666745590874,6.494904964606468
6.447970847062173,0.7806683376002242,5.121615795236939,6.641812956515612
6.4557775304381755,0.5316944802605815,5.188033924802095,6.797889453904597
6.461094475240781,0.26924708882409054,5.256012819341141,6.966032920630253
6.463786946129022,-0.007493123628293907,5.325673148547444,7.149549177739878
6.463712014892739,-0.2996043365739604,5.397168640324843,7.3521748432988
6.460715971526999,-0.6084028176470317,5.470690388757831,7.5780645440135705
6.454631943350528,-0.9353443936008073,5.546471034197967,7.83169022031601
6.4452784994145205,-1.2817696877046427,5.624787936401127,8.1175492202471
6.432460802537474,-1.6483455490629049,5.705963428603598,8.439482573015407
6.415977347046844,-2.0339390671304374,5.790358254333752,8.79924240975027
6.39563795637554,-2.433500888657916,5.8783506784312545,9.19371882141281
6.371302947488961,-2.834440280618227,5.970287866645383,9.610085160368797
6.342958544682779,-3.211401025429771,6.066388718249071,10.018667014750841
6.310844534428481,-3.521440239915466,6.166575388396579,10.366164739242434
6.275630132029327,-3.706453605239085,6.270237035789004,10.578486096651263
6.238565595976936,-3.713017450104205,6.376021896755516,10.587059630292792
6.201435421475893,-3.5264810424937867,6.481892493058444,10.374306966650112
6.166170611050956,-3.186920481309544,6.585635562724945,9.994245557910284
6.13430140623786,-2.763096394671389,6.685578018304048,9.536609356393859
6.106670442291146,-2.314088574491962,6.780944111867986,9.075751566247558
6.083529556546226,-1.8742076285325537,6.871701627530461,8.651910141513838
6.064787480260901,-1.4579291299131005,6.9582207289456,8.279064912115423
6.05020818896177,-1.068844105937695,7.041011378066754,7.957404005255009
6.039519747902394,-0.7058010245384182,7.120585418119304,7.6815340468098805
6.03246173765701,-0.36606216644708034,7.197400758587403,7.444524155542443
6.028801115992539,-0.04669764269094806,7.271846000142827,7.239581560796957
6.028334139565629,0.2548770417441935,7.344241815750797,7.060621050477796
6.030882909983071,0.5407415644398426,7.414848026255575,6.902373798174798
6.03629032562747,0.8124663977340224,7.483871764237323,6.760327021685689
6.04441498960481,1.0711656348598906,7.55147503445418,6.630616860766268
6.055126645953409,1.3175661852787455,7.617781203061843,6.50992208756021
6.068302307806197,1.5520774087575964,7.682880423937445,6.395374596512746
6.083823081893772,1.7748557729321506,7.746834169902573,6.284489766857747
6.101571639623094,1.98586330086916,7.8096790675711505,6.175114931578559
6.121430272631786,2.184920023807761,7.871430216886936,6.065392638350911
6.143279472869863,2.371750968100925,7.932084143270445,5.953735160198814
6.166996982550872,2.546028094445731,7.991621494872433,5.838806980992411
6.19245726349533,2.707407386634857,8.050009564682357,5.719512415186122
6.219531337361678,2.855561092665595,8.107204688834218,5.5949860005033445
6.248086948288334,2.9902050061712417,8.163154548839252,5.464583784912599
6.277988998350046,3.111120652645728,8.217800386688378,5.327874099642781
6.309100204876503,3.218172302897205,8.271079127684805,5.184626857261187
6.3412819279054755,3.3113188540494094,8.322925396257418,5.034800825222741
6.37439511644597,3.390620769563625,8.373273404509645,4.878528686342969
6.408301324141607,3.45624242738485,8.422058691373074,4.716099995000805
6.442863748415455,3.5084503663530464,8.469219691323083,4.547942362368567
6.477948252078986,3.547608028762051,8.514699114946769,4.374601352707579
6.513424332366606,3.5741676622825618,8.558445128473844,4.196719649738713
6.549166008989432,3.5886600656722454,8.60041232497123,4.015016067232305
6.585052609646154,3.591682844100074,8.640562485643553,3.830264945159904
6.620969438087155,3.5838877898402655,8.678865135095153,3.6432764074205877
6.6568083159855576,3.5659679326572333,8.715297899169359,3.4548778739104122
6.69246799531213,3.5386447213659245,8.749846677908463,3.2658971306517732
6.727854442525789,3.5026557122371127,8.782505649214981,3.0771471755409396
6.762880999648161,3.4587430572993383,8.81327712097039,2.889412979199442
6.797468430221154,3.4076430099779604,8.842171250762386,2.7034402326249456
6.831544860320934,3.350076598676148,8.869205653088635,2.5199260958907064
6.865045626307695,3.2867415611316737,8.894404914047541,2.3395119139095835
6.897913041919011,3.2183055830980623,8.917800033186637,2.1627778247571827
6.930096097749992,3.1454008431785776,8.939427811434209,1.9902391519396572
6.961550106181778,3.068619830592865,8.959330202953605,1.8223444434896707
6.992236304487706,2.9885123736036925,8.977553647388502,1.6594749976112289
7.022121428223743,2.905583792860872,8.994148397364615,1.5019456969083314
7.051177266152352,2.8202940758165522,9.009167854333699,1.3500069613479706
7.079380206910518,2.733057955505275,9.022667923947179,1.2038476243071674
7.1067107864655705,2.6442457692126062,9.03470640019025,1.0635985363963476
7.133153244157697,2.554184969613493,9.045342385554214,0.9293367079717062
7.158695093853832,2.4631621624225724,9.054635752633931,0.8010898127354715
7.183326715478058,2.37142554987873,9.062646650761286,0.6788408906658241
7.207040970976846,2.2791876677713487,9.069435059667944,0.5625331076051014
7.229832847654559,2.1866283144165535,9.075060390743994,0.4520744499642459
7.251699130798724,2.0938975822048267,9.079581135243636,0.3473422549939163
